start|end|text
1.0|11.0| 지금부터 저랑 그 역할극을 합시다 역할극을 스탠딩 코미디 스타일로 할 건데 토론을 하면서 자연스럽게 대화하는 형식으로 하면서 코미디를 진행해봅시다.
12.0|17.0| 그래서 좀 재밌고 자연스럽고 유머러스하게 저랑 대화를 하시면 돼요 자연스럽게
17.0|21.46| 그리고 주제는 쌍기타로 전기기타를 시작하는 게 좋으냐
21.46|24.36| 아니면 비싼 기타로 전기기타를 시작하는 게 좋으냐
24.36|26.0| 이거를 입장을 나눠가지고
26.0|28.0| 저랑 토론해보면 좋을 것 같아요.
28.0|30.0| 두 중에 어떤 역할 맡으실래요?
37.0|41.0| 좋습니다. 그럼 제가 싼 기타로 시작하는 게 좋다는 입장을 맡아볼게요. 그럼 성형님은 비싼 기타로 시작하는 게 좋다는 입장이시죠?
41.0|43.0| 네 맞아요. 준비 되셨나요?
43.0|44.0| 네 됐어요. 시작하시죠.
44.0|46.0| 좋아요.
46.0|48.0| 먼저 3기타로 시작하는게
48.0|50.0| 좋은 이유를 말씀드리겠습니다.
50.0|52.0| 초보자일때는
52.0|54.0| 실수도 많고 기타에 익숙해지는
54.0|56.0| 과정이 필요하니까 비싼 기타보다는
56.0|58.0| 부담없이 연습할 수 있는
58.0|60.0| 싼 기타가 좋다고 봅니다.
60.0|65.0| 무엇보다 실력이 향상되면 그때 좋은 기타로 업그레이드 하는 것도 나쁘지 않죠?
65.0|67.0| 성형님은 어떻게 생각하세요?
67.0|69.82| 아, 저는 지금 말에 어폐가 있다고 생각해요.
69.92|72.2| 왜냐하면 어차피 지금 비싼 기타로
72.2|73.58| 나중에 살 생각을 하는 거잖아요.
75.96|82.0| 그럼 어차피 비싼 기타로 사고 싼 기타로 사게 되는데 그런 이중 이중 지출을 하지 말고 처음부터 비싼 기타로 가면 이중지출을 막을 수가 있습니다.
84.0|87.0| 그런데 비싼 기타로 시작하면
87.0|91.0| 혹시라도 흠집이 나거나 실수할 때 부담이 더 크지 않을까요?
91.0|92.0| 초보 때는 실습을 많이 하니까 더 크지 않을까요?
92.0|94.0| 초보 때는 실습을 많이 하니까
94.0|96.0| 쌍기타로 마음 편히 연습할 수 있는게
96.0|98.0| 더 좋다고 생각해요.
98.0|100.0| 그리고 기타 현지에 익숙해지면
100.0|106.0| 그때 비싼 기타를 사는게 더 의미있지 않을까요? 아니 근데 어차피 비싼 기타를 살 건데
106.0|108.0| 싼 기타를 뭐하러 또 삽니까?
108.0|111.5| 그리고 기타 실력이랑 흠집이랑은 아무 상관이 없어요
111.5|114.42| 기타를 망치로 치는 것도 아니라 손가락으로 치는 건데
